Record Type 1,Customer Number,Delivery Address Number,Invoice Number,Grand Total Value,,,Nett Value,,Currency Code,,Sub Total2,Total VAT Value,VAT Number,Sub Total3,,,,,,,,
Record Type 2,Customer Number,Delivery Address Number,Invoice Number,Customer Order Number,Supplied Part Number,Pick Quantity,Nett Value,User Text,Currency Code,Order Type,Exchange Value,Programming Charge,Tarrif Code,Country of Origin,HU,ECCN US,ECCN UK,Customer Part Number,Part Description,UOI(Unit of Issue),Net Weight,CPC Code
Record Type 3,Customer Number,,Invoice Number,OTHERS or CAR CHG,,,Nett Value,,,,,,,,,,,,,,,
"2","57420","57420001","90222105","4500127789TVH","33123125","50.000","94.00","0","EUR","Standard Order","0","0","7318220091","GB","00000000004401753862","EAR99","Not on Control List","0","WASHER","1.000","0.200 KG","1040000"
"2","57420","57420001","90222105","4500127789TVH","33142111","20.000","37.60","0","EUR","Standard Order","0","0","7318290090","IT","00000000004401753262","EAR99","Not on Control List","0","THIMBLE","1.000","0.180 KG","1040000"
"2","57420","57420001","90222105","4500127789TVH","3347E021","2.000","210.68","0","EUR","Standard Order","0","0","7307191045","IN","00000000004401754260","0","0","0","ADAPTOR","1.000","1.090 KG","3171000"
"2","57420","57420001","90222105","4500127789TVH","33531136","1.000","3.65","0","EUR","Standard Order","0","0","7318190090","TR","00000000004401753862","0","0","0","NUT","1.000","0.031 KG","3171000"
"2","57420","57420001","90222105","4500127789TVH","33532148","6.000","24.42","0","EUR","Standard Order","0","0","7307991090","GB","00000000004401753862","0","0","0","NUT","1.000","0.060 KG","3171000"
"2","57420","57420001","90222105","4500127789TVH","340450991","1.000","187.64","0","EUR","Standard Order","0","0","8413308090","JP","00000000004401752981","EAR99","Not on Control List","0","OIL PUMP","1.000","2.970 KG","3171000"
"2","57420","57420001","90222105","4500127789TVH","3525A157","8.000","185.60","0","EUR","Standard Order","0","0","8511900090","DE","00000000004401754260","EAR99","Not on Control List","0","INJECTION PIPE","1.000","1.552 KG","3171000"
"2","57420","57420001","90222105","4500127789TVH","3525A204","3.000","71.94","0","EUR","Standard Order","0","0","8409990090","SE","00000000004401753355","EAR99","Not on Control List","0","INJECTION PIPE","1.000","0.456 KG","3171000"
"2","57420","57420001","90222105","4500127789TVH","3525A205","2.000","47.96","0","EUR","Standard Order","0","0","8409990090","SE","00000000004401753862","EAR99","Not on Control List","0","INJECTION PIPE","1.000","0.300 KG","3171000"
"2","57420","57420001","90222105","4500127789TVH","3576M005","1.000","159.43","0","EUR","Standard Order","0","0","8409990090","GB","00000000004401753262","0","0","0","PIPE,OIL","1.000","1.102 KG","1040000"
"2","57420","57420001","90222105","4500127789TVH","3584A026","3.000","33.72","0","EUR","Standard Order","0","0","8409990090","GB","00000000004401752981","EAR99","Not on Control List","0","FUEL PIPE","1.000","0.060 KG","1040000"
"2","57420","57420001","90222105","4500127789TVH","3681P044","20.000","312.20","0","EUR","Standard Order","0","0","8484100090","GB","00000000004401753262","0","0","0","JOINT","1.000","2.240 KG","1040000"
"2","57420","57420001","90222105","4500127789TVH","36822143","4.000","5.92","0","EUR","Standard Order","0","0","8484100090","GB","00000000004401753355","0","0","0","JOINT","1.000","0.016 KG","1040000"
"2","57420","57420001","90222105","4500127789TVH","36833152","48.000","22.56","0","EUR","Standard Order","0","0","8414900090","GB","00000000004401753862","EAR99","Not on Control List","0","JOINT","1.000","0.480 KG","1040000"
"2","57420","57420001","90222105","4500127789TVH","36835431","12.000","24.60","0","EUR","Standard Order","0","0","4016930090","GB","00000000004401753262","EAR99","Not on Control List","0","JOINT","1.000","0.108 KG","1040000"
"2","57420","57420001","90222105","4500127789TVH","3687H013","150.000","187.50","0","EUR","Standard Order","0","0","8484100090","GB","00000000004401753355","0","0","0","JOINT","1.000","0.900 KG","1040000"
"2","57420","57420001","90222105","4500127789TVH","3687M042","15.000","350.25","0","EUR","Standard Order","0","0","8484100090","CN","00000000004401753355","EAR99","Not on Control List","0","JOINT","1.000","0.660 KG","3171000"
